"coordinateUncertaintyInMeters","stateProvince","country","continent","year","month","day","eventDate","scientificName","kingdom","phylum","order","family","genus","species","taxonRank","recordedBy","identifiedBy","datasetName","publishingCountry","basisOfRecord","occurrenceStatus","issues","utm_x","utm_y"
349,"British Columbia","Canada","NORTH_AMERICA",2024,7,16,"2024-07-16T12:01","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Carol McDougall","Carol McDougall","iNaturalist research-grade observations","US","HUMAN_OBSERVATION","PRESENT","cdc,cdround",1156004.135521,463519.85840677
2,"British Columbia","Canada","NORTH_AMERICA",2024,7,28,"2024-07-28T12:39","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Mark Wynja","Mark Wynja","iNaturalist research-grade observations","US","HUMAN_OBSERVATION","PRESENT","cdc,cdround",1121172.91789933,479817.427300258
12,"British Columbia","Canada","NORTH_AMERICA",2024,7,28,"2024-07-28T14:35:02","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Thompson Hyggen","Thompson Hyggen","iNaturalist research-grade observations","CA","HUMAN_OBSERVATION","PRESENT","cdc,cdround",1195451.91023679,381076.484250444
NA,"British Columbia","Canada","NORTH_AMERICA",2024,7,31,"2024-07-31T13:29:40","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Darren and Claudia","Darren and Claudia","iNaturalist research-grade observations","CA","HUMAN_OBSERVATION","PRESENT","cdc,cdround",945166.413454508,868242.655084471
4,"British Columbia","Canada","NORTH_AMERICA",2024,7,31,"2024-07-31T13:24:20","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Darren and Claudia","Darren and Claudia","iNaturalist research-grade observations","CA","HUMAN_OBSERVATION","PRESENT","cdc,cdround",945162.854914693,868266.56819996
4,"British Columbia","Canada","NORTH_AMERICA",2024,7,31,"2024-07-31T13:30:13","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Nathan Earley","Nathan Earley","iNaturalist research-grade observations","CA","HUMAN_OBSERVATION","PRESENT","cdc,cdround",945168.1530597,868241.854185403
11,"British Columbia","Canada","NORTH_AMERICA",2024,8,2,"2024-08-02T10:26","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","punsandmusicals","punsandmusicals","iNaturalist research-grade observations","US","HUMAN_OBSERVATION","PRESENT","cdc,cdround",1148758.24089809,468921.554391286
35,"British Columbia","Canada","NORTH_AMERICA",2024,8,3,"2024-08-03T18:10:33","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","umbrellamagnolia","umbrellamagnolia","iNaturalist research-grade observations","US","HUMAN_OBSERVATION","PRESENT","cdc,cdround",1179039.19317806,433221.656918994
3,"British Columbia","Canada","NORTH_AMERICA",2024,8,6,"2024-08-06T08:04:14","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","clearbrookmlb","clearbrookmlb","iNaturalist research-grade observations","CA","HUMAN_OBSERVATION","PRESENT","cdc,cdround",1630080.28068192,539385.208604142
NA,"British Columbia","Canada","NORTH_AMERICA",2024,8,9,"2024-08-09T17:32","Neophasia menapia (Felder & Felder, 1859)","Animalia","Arthropoda","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","SPECIES","Alex Bodden","Alex Bodden","iNaturalist research-grade observations","US","HUMAN_OBSERVATION","PRESENT","cdc",1459824.63789354,520135.043699562
